region,cbsa_code
"Winston, NC",49180
"Chattanooga, TN",16860
"Boone, IA; IA",14340
"Athens, GA",12020
"Grand Forks, ND",24220
"Claremont, NH; NH",17200
"Dunn, NC; NC",20380
"Greenfield Town, MA; MA",24640
"Owosso, MI; MI",37020
"Marshall, TX; TX",32220
"Prescott, AZ; AZ",39150
"Ionia, MI; MI",24340
"Oxford, NC; NC",37080
"Ottawa, IL; IL",36837
"Port Clinton, OH; OH",38840
"Canton, IL; IL",15900
"Newton, IA; IA",35500
"Summit Park, UT; UT",44920
"Arkansas City-Winfield, KS; KS",11680
"Junction City, KS; KS",27920
"Valley, AL; AL",46740
"Logan, WV; WV",30880
"Merrill, WI; WI",54980
"Bastrop, LA; LA",12820
"Ca-Â¦on City, CO",15860
"Espa-Â¦ola, NM",21580
"Columbus, GA",17980
"Fargo, ND",22020
"Duluth, MN",20260
United States,0
"Youngstown, OH",49660
"York, PA",49620
"Worcester, MA",49340
"Wisconsin Rapids, WI",49220
"Winchester, VA",49020
"Wheeling, WV",48540
"Weirton, WV",48260
"Wausau, WI",48140
"Watertown, NY",48060
"Watertown, WI",48020
"Waterloo, IA",47940
"Washington, DC",47894
"Wahpeton, ND",47420
"Virginia Beach, VA",47260
"Vineland, NJ",47220
"Utica, NY",46540
"Tullahoma, TN",46100
"Truckee, CA",46020
"Trenton, NJ",45940
"Texarkana, TX",45500
"Tampa, FL",45300
"Talladega, AL",45180
"Spokane, WA",44060
"South Bend, IN",43780
"Sioux City, IA",43580
"Sierra Vista, AZ",43420
"Shreveport, LA",43340
"Sherman, TX",43300
"Sebring, FL",42700
"Sebastian, FL",42680
"Seattle, WA",42644
"Scranton, PA",42540
"Santa Rosa, CA",42220
"Santa Maria, CA",42200
"Santa Cruz, CA",42100
"San Luis Obispo, CA",42020
"San Jose, CA",41940
"San Francisco, CA",41884
"San Diego, CA",41740
"San Antonio, TX",41700
"Salisbury, MD",41540
"St. Louis, MO",41180
"St. Joseph, MO",41140
"Sacramento, CA",40900
"Riverside, CA",40140
"Rio Grande City, TX",40100
"Richmond, KY",40080
